protocol,case_id,t,input,teacher,a,w,c,fired,active,firedCount,effective
S2,ipi=0.20_m=0.50,11.300000,,0.50,1.927334,0.526726,22.008029,true,true,114,0.445864
S2,ipi=0.20_m=0.50,11.500000,,0.50,1.927334,0.529485,22.358032,true,true,116,0.448199
S2,ipi=0.20_m=0.50,11.700000,,0.50,1.927334,0.532203,22.706870,true,true,118,0.450500
S2,ipi=0.20_m=0.50,11.900000,,0.50,1.927334,0.534881,23.054547,true,true,120,0.452767
S2,ipi=0.20_m=1.00,0.100000,,1.00,0.937808,0.126972,0.846482,true,true,2,0.107480
S2,ipi=0.20_m=1.00,0.300000,,1.00,1.419294,0.195737,1.690147,true,true,4,0.165688
S2,ipi=0.20_m=1.00,0.500000,,1.00,1.666498,0.242936,2.531004,true,true,6,0.205641
S2,ipi=0.20_m=1.00,0.700000,,1.00,1.793416,0.278895,3.369063,true,true,8,0.236079
S2,ipi=0.20_m=1.00,0.900000,,1.00,1.858578,0.307957,4.204333,true,true,10,0.260680
S2,ipi=0.20_m=1.00,1.100000,,1.00,1.892034,0.332354,5.036824,true,true,12,0.281332
S2,ipi=0.20_m=1.00,1.300000,,1.00,1.909210,0.353387,5.866544,true,true,14,0.299136
S2,ipi=0.20_m=1.00,1.500000,,1.00,1.918029,0.371878,6.693503,true,true,16,0.314788
S2,ipi=0.20_m=1.00,1.700000,,1.00,1.922557,0.388382,7.517710,true,true,18,0.328758
S2,ipi=0.20_m=1.00,1.900000,,1.00,1.924881,0.403289,8.339175,true,true,20,0.341377
S2,ipi=0.20_m=1.00,2.100000,,1.00,1.926075,0.416885,9.157905,true,true,22,0.352885
S2,ipi=0.20_m=1.00,2.300000,,1.00,1.926688,0.429385,9.973912,true,true,24,0.363466
S2,ipi=0.20_m=1.00,2.500000,,1.00,1.927002,0.440955,10.787202,true,true,26,0.373260
S2,ipi=0.20_m=1.00,2.700000,,1.00,1.927164,0.451727,11.597787,true,true,28,0.382379
S2,ipi=0.20_m=1.00,2.900000,,1.00,1.927247,0.461806,12.405673,true,true,30,0.390910
S2,ipi=0.20_m=1.00,3.100000,,1.00,1.927289,0.471277,13.210872,true,true,32,0.398928
S2,ipi=0.20_m=1.00,3.300000,,1.00,1.927311,0.480212,14.013391,true,true,34,0.406491
S2,ipi=0.20_m=1.00,3.500000,,1.00,1.927322,0.488670,14.813239,true,true,36,0.413650
S2,ipi=0.20_m=1.00,3.700000,,1.00,1.927328,0.496699,15.610425,true,true,38,0.420447
S2,ipi=0.20_m=1.00,3.900000,,1.00,1.927331,0.504343,16.404959,true,true,40,0.426917
S2,ipi=0.20_m=1.00,4.100000,,1.00,1.927333,0.511638,17.196848,true,true,42,0.433093
S2,ipi=0.20_m=1.00,4.300000,,1.00,1.927333,0.518616,17.986103,true,true,44,0.438999
S2,ipi=0.20_m=1.00,4.500000,,1.00,1.927334,0.525304,18.772731,true,true,46,0.444660
S2,ipi=0.20_m=1.00,4.700000,,1.00,1.927334,0.531725,19.556741,true,true,48,0.450096
S2,ipi=0.20_m=1.00,4.900000,,1.00,1.927334,0.537902,20.338142,true,true,50,0.455324
S2,ipi=0.20_m=1.00,5.100000,,1.00,1.927334,0.543853,21.116943,true,true,52,0.460361
S2,ipi=0.20_m=1.00,5.300000,,1.00,1.927334,0.549593,21.893152,true,true,54,0.465221
S2,ipi=0.20_m=1.00,5.500000,,1.00,1.927334,0.555140,22.666778,true,true,56,0.469916
S2,ipi=0.20_m=1.00,5.700000,,1.00,1.927334,0.560505,23.437829,true,true,58,0.474457
S2,ipi=0.20_m=1.00,5.900000,,1.00,1.927334,0.565700,24.206315,true,true,60,0.478855
S2,ipi=0.20_m=1.00,6.100000,,1.00,1.927334,0.570738,24.972243,true,true,62,0.483119
S2,ipi=0.20_m=1.00,6.300000,,1.00,1.927334,0.575627,25.735623,true,true,64,0.487257
S2,ipi=0.20_m=1.00,6.500000,,1.00,1.927334,0.580376,26.496462,true,true,66,0.491277
S2,ipi=0.20_m=1.00,6.700000,,1.00,1.927334,0.584994,27.254769,true,true,68,0.495186
S2,ipi=0.20_m=1.00,6.900000,,1.00,1.927334,0.589487,28.010553,true,true,70,0.498990
S2,ipi=0.20_m=1.00,7.100000,,1.00,1.927334,0.593864,28.763822,true,true,72,0.502695
S2,ipi=0.20_m=1.00,7.300000,,1.00,1.927334,0.598130,29.514584,true,true,74,0.506306
S2,ipi=0.20_m=1.00,7.500000,,1.00,1.927334,0.602291,30.262847,true,true,76,0.509828
S2,ipi=0.20_m=1.00,7.700000,,1.00,1.927334,0.606353,31.008621,true,true,78,0.513266
S2,ipi=0.20_m=1.00,7.900000,,1.00,1.927334,0.610319,31.751912,true,true,80,0.516624
S2,ipi=0.20_m=1.00,8.100000,,1.00,1.927334,0.614196,32.492731,true,true,82,0.519906
S2,ipi=0.20_m=1.00,8.300000,,1.00,1.927334,0.617987,33.231084,true,true,84,0.523115
S2,ipi=0.20_m=1.00,8.500000,,1.00,1.927334,0.621697,33.966979,true,true,86,0.526255
